"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","rawtemp","rawfeeltemp","rawhumidity","rawwindspeed","Group"
680,11/10/2012,"fall",2012,11,"no",6,"no","clear",0.389167,0.393937,0.645417,0.0578458,2090,4446,6536,10.290849,9.999842,64.5417,3.8756686,1
682,11/12/2012,"fall",2012,11,"yes",1,"no","clear",0.485,0.475383,0.741667,0.173517,1097,5172,6269,14.795,15.375278,74.1667,11.625639,1
683,11/13/2012,"fall",2012,11,"no",2,"yes","mist",0.343333,0.323225,0.662917,0.342046,327,3767,4094,8.136651,5.33285,66.2917,22.917082,1
684,11/14/2012,"fall",2012,11,"no",3,"yes","clear",0.289167,0.281563,0.552083,0.199625,373,5122,5495,5.590849,2.583158,55.2083,13.374875,1
686,11/16/2012,"fall",2012,11,"no",5,"yes","clear",0.345,0.347204,0.524583,0.171025,484,5214,5698,8.215,6.915464,52.4583,11.458675,1
687,11/17/2012,"fall",2012,11,"no",6,"no","clear",0.325,0.326383,0.545417,0.179729,1313,4316,5629,7.275,5.541278,54.5417,12.041843,1
690,11/20/2012,"fall",2012,11,"no",2,"yes","mist",0.374167,0.380667,0.685,0.082725,534,5100,5634,9.585849,9.124022,68.5,5.542575,1
691,11/21/2012,"fall",2012,11,"no",3,"yes","clear",0.353333,0.364892,0.61375,0.103246,615,4531,5146,8.606651,8.082872,61.375,6.917482,1
693,11/23/2012,"fall",2012,11,"no",5,"yes","clear",0.368333,0.378779,0.56875,0.148021,1603,2307,3910,9.311651,8.999414,56.875,9.917407,1
695,11/25/2012,"fall",2012,11,"no",0,"no","clear",0.245833,0.257583,0.468333,0.1505,309,2115,2424,3.554151,1.000478,46.8333,10.0835,1
697,11/27/2012,"fall",2012,11,"no",2,"yes","mist",0.291667,0.281558,0.786667,0.237562,123,3836,3959,5.708349,2.582828,78.6667,15.916654,1
700,11/30/2012,"fall",2012,11,"no",5,"yes","clear",0.298333,0.323867,0.649583,0.0584708,362,5306,5668,6.021651,5.375222,64.9583,3.9175436,1
702,12/2/2012,"fall",2012,12,"no",0,"no","mist",0.3475,0.359208,0.823333,0.124379,892,3757,4649,8.3325,7.707728,82.3333,8.333393,1
703,12/3/2012,"fall",2012,12,"no",1,"yes","clear",0.4525,0.455796,0.7675,0.0827208,555,5679,6234,13.2675,14.082536,76.75,5.5422936,1
710,12/10/2012,"fall",2012,12,"no",1,"yes","mist",0.435833,0.435575,0.925,0.190308,329,4841,5170,12.484151,12.74795,92.5,12.750636,1
714,12/14/2012,"fall",2012,12,"no",5,"yes","clear",0.281667,0.294192,0.642917,0.131229,429,5182,5611,5.238349,3.416672,64.2917,8.792343,1
717,12/17/2012,"fall",2012,12,"no",1,"yes","mist",0.393333,0.4015,0.907083,0.0982583,212,4373,4585,10.486651,10.499,90.7083,6.5833061,1
718,12/18/2012,"fall",2012,12,"no",2,"yes","clear",0.410833,0.409708,0.66625,0.221404,433,5124,5557,11.309151,11.040728,66.625,14.834068,1
719,12/19/2012,"fall",2012,12,"no",3,"yes","clear",0.3325,0.342162,0.625417,0.184092,333,4934,5267,7.6275,6.582692,62.5417,12.334164,1
721,12/21/2012,"winter",2012,12,"no",5,"yes","mist",0.326667,0.301767,0.556667,0.374383,221,3402,3623,7.353349,3.916622,55.6667,25.083661,1
723,12/23/2012,"winter",2012,12,"no",0,"no","clear",0.245833,0.259471,0.515417,0.133083,408,1379,1787,3.554151,1.125086,51.5417,8.916561,1
727,12/27/2012,"winter",2012,12,"no",4,"yes","mist",0.254167,0.226642,0.652917,0.350133,247,1867,2114,3.945849,-1.041628,65.2917,23.458911,1
729,12/29/2012,"winter",2012,12,"no",6,"no","mist",0.253333,0.2424,0.752917,0.124383,159,1182,1341,3.906651,-0.00159999999999982,75.2917,8.333661,1
730,12/30/2012,"winter",2012,12,"no",0,"no","clear",0.255833,0.2317,0.483333,0.350754,364,1432,1796,4.024151,-0.707800000000001,48.3333,23.500518,1
